Country,Region,Maker,"First Fursuit Social Media Post",Link,Suits Added: 838/855 - 99% Complete (132 Suits Remaining),No of Suits,Suits Added,Completed By
United States,Unknown,Dragoncid,,Dragoncid,https://www.deviantart.com/dragoncid/,1,Complete,Ricotiger
United States,Oregon,Dragonfire Costumes,,Dragonfire Costumes,http://www.furaffinity.net/user/dragonfirecostumes/,0,Broken Link,Ricotiger
United States,Unknown,Dragonfoxdemon,,Dragonfoxdemon,https://www.furaffinity.net/gallery/dragonfoxdemon/folder/420889/Fursuits,9,Complete,Ricotiger
United States,Alabama,DragonfyreDawn (DFD) Costumes,,DragonfyreDawn (DFD) Costumes,https://www.furaffinity.net/user/dfdcostumes/,23,Complete,Shooter
United States,Arizona,Drakon Twins' Fursuits,,Drakon Twins' Fursuits,https://www.furaffinity.net/user/drakontwinscostumes,5,Complete,Ricotiger
United States,Wisconsin,Drakonic Knight,,Drakonic Knight,http://www.furaffinity.net/user/drakonicknight/,183,Complete,Ricotiger
United States,Arizona,Dream Machine Costumes,,Dream Machine Costumes,https://dreammachinecostumes.com/,33,Complete,Ricotiger
United States,Texas,Dream Vision Creations,,Dream Vision Creations,https://www.furaffinity.net/gallery/dreamvisioncreations/,29,Complete,Ricotiger
United States,Unknown,Dreams Come True Studios,,Dreams Come True Studios,https://dctfursuits.weebly.com/,16,Complete,Ricotiger
United States,Virginia,Dresden Complex,,Dresden Complex,https://twitter.com/dresdencomplex,1,No Names,Ricotiger
United States,Unknown,Dubmutt,,Dubmutt,https://www.furaffinity.net/user/dubmuttcostumes/,0,Broken Link,Ricotiger
Mexico,Guadalajara,Dynamic Cats Studio,,Dynamic Cats Studio,https://dynamicatstudio.com/,0,No Names,Ricotiger
Canada,Unknown,Elemental Fursuits,,Elemental Fursuits,http://www.furaffinity.net/user/ElementalFursuits/,5,Complete,Ricotiger
United States,california,Elk Craft Fursuits (Elk Dragon),,Elk Craft Fursuits,https://www.elkcraftfursuits.com/,30,Complete,Ricotiger
Canada,Unknown,Ellies Fursuits,,Ellies Fursuits,https://www.furaffinity.net/user/ellies-fursuits/,1,Complete,Ricotiger
United Kingdom,Wales,Elven Wolf,,Elven Wolf,https://instagram.com/x.nymeria_elvenwolf.x?utm_source=ig_profile_share&igshid=1krvusqmnp18k,6,Complete,Shooter
United States,Unknown,EntryLevelFox,,EntryLevelFox,https://twitter.com/entrylevelfox,12,Complete,Ricotiger
United States,Unknown,ErrorFactor (PancakeCorgi/Shortstack),,ErrorFactor,https://www.furaffinity.net/user/errorfactor/,2,Complete,Ricotiger
United States,Pennsylvania,Errowolf,,Errowolf,https://www.furaffinity.net/user/erro,5,Complete,Ricotiger
United States,Florida,Esuterure,,Esuterure,https://www.deviantart.com/esuterure2006/,3,Complete,Ricotiger
United States,Michigan,Eternalskyy,,Eternalskyy,https://www.deviantart.com/eternalskyy,13,Complete,Ricotiger
Australia,Unknown,Euharmonics,,Euharmonics,https://www.furaffinity.net/user/euharmonics/,4,Complete,Ricotiger
United States,Florida,Evil Bear Fx,,Evil Bear Fx,http://www.furaffinity.net/user/evilbearfx/,1,Complete,Ricotiger
Argentina,Unknown,Evozarro,,Evorazzo,https://www.furaffinity.net/user/evorazzo,5,Complete,Ricotiger
United States,Washington,Excelsior the Lion,,Excelsior the Lion,https://www.furaffinity.net/user/excelsior-the-lion/,5,Complete,Ricotiger
Australia,Unknown,Ezza,,Ezza,http://www.furaffinity.net/user/Ezza,4,Complete,Ricotiger
United States,Chicago,Facemakers Inc,,Facemakers Inc,http://www.facemakersincorporated.com/,2,No Names,Ricotiger
