Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
GrontalisV2 Owner: Grontalis Species: folf DB Added: 2011-01-22 Created: 2010-05-12 Updated: 2012-05-01 Builder(s): Sparkle Kreations,Grontalisv2,Hybrid Custom,120,12-05-2010,01-05-2012,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Purple,Multi,Hybrid,
GronV3 Owner: Grontalis Species: folf DB Added: 2017-02-05 Created: 2014-03-13 Updated: 2017-02-05 Builder(s): Sparkle Kreations,Gronv3,Hybrid Custom,120,13-03-2014,05-02-2017,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Purple,Multi,Hybrid,
,Hatoma,Fox,100,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Red,Brown,Fox,
,Hirosaki,Hybrid Custom,120,,,Sparkle Kreations,697,Partial,None,Realistic Toony,Plantigrade,Five,Blue,Purple,Hybrid,
,Iruto,Wolf,210,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Black,Green,Wolf,
,Kaydex,Tiger,202,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Orange,Brown,Tiger,
,Kip,Wolf,210,,,Sparkle Kreations,697,Fullsuit,None,Realistic,Digitigrade,Five,Blue,Purple,Wolf,
,Lakota Lutrova,Wolf,210,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Wolf,
,Leo Needlemane,Hybrid Custom,120,,,Sparkle Kreations,697,Partial,None,Realistic,Plantigrade,Four,Blue,Blue,Hybrid,
,Leo Tsubasa,Cat Domestic,18,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,White,Blue,Domestic Cat,
"Leonaxas Bloodmane Owner: Hellpup Species: hybrid , hyena DB Added: 2016-05-15 Created: 2014-02-12 Updated: 2016-05-15 Builder(s): Sparkle Kreations",Leonaxas Bloodmane,Hybrid Custom,120,12-02-2014,15-05-2016,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Four,Blue,Blue,Hybrid,
,Lion,Lion,152,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Four,Pink,Black,Lion,
Lyron Katano Owner: Lyron Katano Species: wolf DB Added: 2014-05-25 Created: 2013-07-20 Updated: 2014-06-02 Builder(s): Sparkle Kreations,Lyron Katano,Wolf,210,20-07-2013,02-06-2014,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Wolf,
,Manson,Lion,152,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,White,Multi,Lion,
,Matsi Wuff,Wolf,210,,,Sparkle Kreations,697,Partial,None,Toony,N/A,N/A,Brown,Yellow,Wolf,
,Micah,Deer,28,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,White,Blue,Deer,
,Muffins,Dog Border Collie,35,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Four,Black,Purple,Dog Half Cocked Medium Tail,
,Niko,Rabbit,182,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Rabbit,
,Oreo,Dog Husky,52,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Black,Blue,Husky,
,Pauza O'Savin,Wolf,210,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,White,Blue,Wolf,
,Peperment,Dog Husky,52,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Four,Black,Multi,Husky,
,Phineas,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,White,Pink,Hybrid,
,Proto,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Four,Grey,Orange,Hybrid,
,Rainbow Crow,Bird,13,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Other,Black,Multi,Bird (Small),
,Rawz,Tiger,202,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Tiger,
,Raziel,Hybrid Custom,120,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Brown,Green,Hybrid,
,Reverie,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Realistic,Plantigrade,Five,Black,Blue,Hybrid,
,Rewind,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,Grey,Blue,Hybrid,
,Rouga Fang Wolf,Wolf,210,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Grey,Yellow,Wolf,
,Saege Fhang,Hybrid Custom,120,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Hybrid,
,Scar,Lion,152,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,Brown,Green,Lion,
,Siabus,Fox,100,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,White,Brown,Fox,
,Sneaksy,Fantasy - Dragon,78,,,Sparkle Kreations,697,Fullsuit,None,Realistic,Digitigrade,Five,Green,Blue,Dragon,
,SnowPaws,Hybrid Custom,120,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Four,Blue,Blue,Hybrid,
,Sol Kiri,Dog Husky,52,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Yellow,Blue,Husky,
,Sparkle,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,White,Grey,Hybrid,
,Spectrum,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,White,Green,Hybrid,
,Starlet,Fox,100,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Blue,Blue,Fox,
,StarLight,Cat Domestic,18,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Black,Brown,Domestic Cat,
,Sushii,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Realistic Toony,Digitigrade,Four,Red,Black,Hybrid,
,Taijiya,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Realistic Toony,Digitigrade,Five,Orange,Black,Hybrid,
,Talous,Fantasy - Media,87,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Green,Red,Media,
,Todd Renard,Fox,100,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Grey,Green,Fox,
,Tooth,Hybrid Custom,120,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,Grey,Grey,Hybrid,
,Turlough,Wolf,210,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,Wolf,
,Venu,Fantasy - Dragon,78,,,Sparkle Kreations,697,Fullsuit,None,Toony,Digitigrade,Five,Purple,Blue,Dragon,
,Voro BlackHeart,Snake,195,,,Sparkle Kreations,697,Partial,None,Realistic Toony,Plantigrade,Five,Red,Red,Missingno (No Avatar Graphic Found),
,Wovaka,Wolf,210,,,Sparkle Kreations,697,Fullsuit,None,Realistic,Digitigrade,Five,Grey,Brown,Wolf,
,Zack,Fox,100,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Four,Pink,Grey,Fox,
,Zaney,Ferret,98,,,Sparkle Kreations,697,Fullsuit,None,Toony,Plantigrade,Five,Green,Purple,Ferret,
,Zebidia,Bear,11,,,Sparkle Kreations,697,Partial,None,Toony,Plantigrade,Five,Black,Brown,Bear,
,Zigsa,Snow Leopard,196,,,Sparkle Kreations,697,Partial,None,Toony,N/A,N/A,Grey,Purple,Snow Leopard,
,Abyssora,Hybrid Custom,120,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Blue,Green,Hybrid,
,Antimony,Wolf,210,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Grey,Yellow,Wolf,
,Atlantis,Wolf,210,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Black,Black,Wolf,
,Bat Head,Bat,10,,,Sparklepup Studios,698,Partial,None,Realistic Toony,N/A,N/A,Brown,Black,Missingno (No Avatar Graphic Found),
,Chargan,Rabbit,182,,,Sparklepup Studios,698,Partial,None,Toony,Plantigrade,Five,Purple,Multi,Rabbit,
,Crystal,Wolf,210,,,Sparklepup Studios,698,Fullsuit,None,Realistic,Digitigrade,Five,Purple,Blue,Wolf,
,Dusky,Hybrid Custom,120,,,Sparklepup Studios,698,Fullsuit,None,Realistic,Digitigrade,Five,Brown,Blue,Hybrid,
,Edward,Hamster,108,,,Sparklepup Studios,698,Partial,None,Realistic,Plantigrade,Four,Brown,Black,Guinea Pig (Hamster),
,Flare Pup,Dog Domestic,47,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Red,Orange,Dog Half Cocked Stub Tail,
,Hyena Head,Hyena,144,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Brown,Blue,Missingno (No Avatar Graphic Found),
,Lockmoor,Dog Corgi,43,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Blue,Purple,Dog Half Cocked Stub Tail,
,Medosai,Wolf,210,,,Sparklepup Studios,698,Fullsuit,None,Realistic,Plantigrade,Five,Blue,Grey,Wolf,
,Mikuro,Lynx,155,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Grey,Blue,Lynx,
,Novel,Snow Leopard,196,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Grey,Green,Snow Leopard,
,Red Collie,Dog Collie,42,,,Sparklepup Studios,698,Partial,None,Toony,Plantigrade,Four,Red,Multi,Dog Half Cocked Medium Tail,
,Red Ocelot,Ocelot,165,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Red,Green,Spotted Cat,
,Red Panda Head,Red Panda,185,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Brown,Brown,Red Panda,
,Rum,Dog Collie,42,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Medium Tail,
,Schmellon,Panda,171,,,Sparklepup Studios,698,Partial,None,Toony,Plantigrade,Five,Blue,Brown,Bear,
,Stoat Head,Weasel,205,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Brown,Pink,"Mustelidae (Weasel, Meerkat etc)",
,Taya Setter,Cat Domestic,18,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Blue,Brown,Domestic Cat,
Teryl Owner: Cinerus Species: husky DB Added: 2010-02-04 Created: 2009-12-28 Updated: 2010-08-04 Builder(s): TayaLu,Teryl,Dog Husky,52,28-12-2009,04-08-2010,Sparklepup Studios,698,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Husky,
,Titan,Hybrid Custom,120,,,Sparklepup Studios,698,Fullsuit,None,Toony,Digitigrade,Four,Grey,Blue,Hybrid,
,Toshi,Dinosaur,30,,,Sparklepup Studios,698,Partial,None,Toony,N/A,N/A,Blue,Red,Extinct,
,Trinket,Hybrid Custom,120,,,Sparklepup Studios,698,Fullsuit,None,Toony,Digitigrade,Five,Blue,Black,Hybrid,
Velkro Owner: amenophis Species: cat DB Added: 2017-11-02 Created: 2014-06-01 Updated: 2017-11-02 Builder(s): amenophis SparklePup Studios,Velkro,Cat Domestic,18,01-06-2014,02-11-2017,Sparklepup Studios,698,Partial,None,Toony,Plantigrade,Five,Brown,Purple,Domestic Cat,
,Wolfcub,Wolf,210,,,Sparklepup Studios,698,Fullsuit,Plush,Toony,Plantigrade,Five,Brown,Brown,Wolf,
,Wux,Hybrid Custom,120,,,Sparklepup Studios,698,Partial,None,Realistic,N/A,N/A,Brown,Green,Hybrid,
,Acer,Cheetah,19,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Spotted Cat,
,Acus,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Hybrid,
,Amarok,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,White,Blue,Wolf,
,Antediluvia,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Brown,Brown,Hybrid,
,Ariesa,Goat,106,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Other,Purple,Green,Goat,
,August,Dog Domestic,47,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,White,Blue,Dog Half Cocked Stub Tail,
,Awol,Fantasy - Monster,89,,,SparkyCanDo,699,Fullsuit,None,Toony,Quad,Other,Black,Black,Missingno (No Avatar Graphic Found),
,Balthazar,Hybrid Sergal,134,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Grey,Yellow,Hybrid,
,Banyos,Dog German Shepherd,48,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Brown,Brown,Dog Thick Tail,
,Beta,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Brown,Blue,Wolf,
,Bindgy,Dog Domestic,47,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Dog Half Cocked Stub Tail,
,Blade,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,N/A,N/A,Pink,Green,Wolf,
,Blandford,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Fox,
,Carbon,Dog Husky,52,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Red,Pink,Husky,
,Cerberus,Deer,28,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Pink,Multi,Deer,
,Ceryx,Bat,10,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Other,Brown,Blue,Missingno (No Avatar Graphic Found),
,Charlie,Fox,100,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Fox,
Chip Fox Owner: ChipFox Species: red fox DB Added: 2015-01-19 Created: 2012-01-01 Updated: 2015-01-19 Builder(s): SparkyCanDo,Chip Fox,Fox,100,01-01-2012,19-01-2015,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Brown,Green,Fox,
,Creepy,Fantasy - Monster,89,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,White,Green,Missingno (No Avatar Graphic Found),
,Crexon,Otter,169,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Cynn,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Black,Multi,Wolf,
,Cytrus,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,White,Yellow,Fox,
,Dakar,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,White,Blue,Wolf,
,Delako,Dog Husky,52,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Blue,Blue,Husky,
,Dragony,Fantasy - Dragon,78,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Green,Yellow,Dragon,
Draky Owner: Draky Species: digimon DB Added: 2013-07-27 Created: Updated: 2013-07-27 Builder(s): SparkyCanDo,Draky,Fantasy - Digimon,77,,27-07-2013,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Blue,Orange,Media,
,Draky,Fantasy - Dragon,78,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Blue,Orange,Dragon,
,Draque,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Black,Grey,Hybrid,
,Evander,Tiger,202,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,White,Red,Tiger,
,Fang,Tiger,202,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Orange,Yellow,Tiger,
,Fay,Otter,169,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Felon,Dog German Shepherd,48,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Blue,Dog Thick Tail,
,Flippy,Lion,152,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Brown,Green,Lion,
,Goth,Bear,11,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Brown,Brown,Bear,
Griffon black anthro Owner: griphass Species: gryphon DB Added: 2010-04-21 Created: 2011-08-10 Updated: 2011-11-16 Builder(s): sparkycom,Griffon Black Anthro,Fantasy - Gryphon,83,10-08-2011,16-11-2011,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Gryphon,
,Hemi,Dog Husky,52,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Husky,
,Ivan,Fantasy - Undead,92,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Black,Black,Missingno (No Avatar Graphic Found),
,Jackal,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Red,Yellow,Hybrid,
,Jad,Otter,169,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Purple,Yellow,"Mustelidae (Weasel, Meerkat etc)",
,Jad'Thor,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Purple,Yellow,Hybrid,
,Jagannath,Monkey,162,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Primate,
,Jeddy,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Orange,Orange,Fox,
,Jex,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Green,Blue,Hybrid,
,Karlas,Squirrel,197,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Red,Brown,Squirrel,
,Keeva,Hyena,144,,,SparkyCanDo,699,Fullsuit,None,Toony,N/A,N/A,Grey,Green,Missingno (No Avatar Graphic Found),
Kiyo Owner: Kiyo Species: fox DB Added: 2011-08-01 Created: Updated: 2011-12-21 Builder(s): sparkycom,Kiyo,Fox,100,,21-12-2011,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Orange,Green,Fox,
,Kriminal,Dinosaur,30,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Other,Grey,Green,Extinct,
Kweet The Fox Owner: Kweet Species: fox DB Added: 2011-10-24 Created: 2011-01-01 Updated: 2011-10-24 Builder(s): sparkycom,Kweet The Fox,Fox,100,01-01-2011,24-10-2011,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Orange,Green,Fox,
,Kyo,Red Panda,185,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Brown,Yellow,Red Panda,
,Laxy,Fantasy - Dragon,78,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Other,Red,Blue,Dragon,
,Lil-T,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Brown,Yellow,Hybrid,
,Loupan,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Grey,Red,Wolf,
,Lucid,Tiger,202,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Green,Blue,Tiger,
,Lucio,Dog German Shepherd,48,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Green,Green,Dog Thick Tail,
,Luketh,Fantasy - Dragon,78,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Green,Blue,Dragon,
,Lumunix,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Yellow,Brown,Hybrid,
,Mac,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Blue,Blue,Wolf,
,Mackenya,Horse,113,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,White,Blue,Horse,
,Malstorm,Cheetah,19,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Blue,Grey,Spotted Cat,
,Mango,Otter,169,,,SparkyCanDo,699,Fullsuit,Plush,Toony,Plantigrade,Five,Yellow,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Mango,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Yellow,Blue,Wolf,
,Marduk,Dog Domestic,47,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Brown,Green,Dog Half Cocked Stub Tail,
,Meowyn,Cheetah,19,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Orange,Blue,Spotted Cat,
,Mestiso,Tiger,202,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Tiger,
,Mestiso,Extinct Mammal,71,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Extinct,
,Mika,Dog Domestic,47,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Brown,Blue,Dog Half Cocked Stub Tail,
,Mike,Dog Golden Retriever,49,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Brown,Green,Dog Half Cocked Medium Tail,
,Mikko,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Orange,Green,Fox,
,Milo,Tiger,202,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,White,Blue,Tiger,
,Mish Mash,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Rainbow,Multi,Hybrid,
,Monaco,Otter,169,,,SparkyCanDo,699,Fullsuit,Plush,Toony,Plantigrade,Five,Grey,Grey,"Mustelidae (Weasel, Meerkat etc)",
,Mortadablo,Otter,169,,,SparkyCanDo,699,Fullsuit,Plush,Toony,Plantigrade,Five,Blue,Purple,"Mustelidae (Weasel, Meerkat etc)",
,Mystery,Rabbit,182,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,White,Yellow,Rabbit,
,Nanashi,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Brown,Red,Fox,
,Neerren,Fox,100,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Yellow,Blue,Fox,
,Nekari,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,White,Yellow,Hybrid,
,Pedobear,Bear,11,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Other,Brown,Black,Bear,
,Poppy,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Grey,Pink,Hybrid,
,Reluam,Coyote,25,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Brown,Green,Dog Thick Tail,
,Rime,Otter,169,,,SparkyCanDo,699,Fullsuit,Plush,Toony,Plantigrade,Five,Blue,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Ryvahn,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Wolf,
,Saxboy,Fantasy - Media,87,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Yellow,Black,Media,
,Silverwolf,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Grey,Blue,Wolf,
,Skee,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Five,Brown,Blue,Hybrid,
,Skipper,Kangaroo,148,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Orange,Orange,Kangaroo,
,Sparky,Fantasy - Dragon,78,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Other,Green,Yellow,Dragon,
,Sparky,Extinct Mammal,71,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Brown,Green,Extinct,
,Sparta,Deer,28,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Other,White,Green,Deer,
,Stella,Cat Domestic,18,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Black,Green,Domestic Cat,
,Susuwatari,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Black,Blue,Hybrid,
,Suyuan,Hybrid Custom,120,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,White,Orange,Hybrid,
,Taio,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,White,Yellow,Wolf,
,Talon Thunderstrike,Hybrid Custom,120,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,White,Yellow,Hybrid,
,Taylor,Dog Domestic,47,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Blue,Blue,Dog Half Cocked Stub Tail,
,Tex,Wolf,210,,,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Grey,Green,Wolf,
,Tin-Foil,Rabbit,182,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Green,Green,Rabbit,
,Totoro,Fantasy - Media,87,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Other,Grey,Black,Media,
,Tre,Dog Domestic,47,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,White,Purple,Dog Half Cocked Stub Tail,
Twis Owner: TwistedPherret Species: ferret DB Added: 2012-08-08 Created: Updated: 2012-08-08 Builder(s): SparkyCanDo,Twis,Ferret,98,,08-08-2012,SparkyCanDo,699,Partial,None,Toony,N/A,N/A,Grey,Blue,Ferret,
,Vamero,Wolf,210,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Green,Green,Wolf,
,Ventron,Possum,179,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Grey,Blue,"Mustelidae (Weasel, Meerkat etc)",
,Whiskers,Cat Domestic,18,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,White,Green,Domestic Cat,
,Xadrez,Armadillo,7,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Five,Brown,Brown,Missingno (No Avatar Graphic Found),
,Xavier,Leopard,151,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Five,Black,Red,Snow Leopard,
,Xtremefox,Fox,100,,,SparkyCanDo,699,Partial,None,Toony,Plantigrade,Four,Brown,Green,Fox,
,Zammy,Rabbit,182,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,Pink,Blue,Rabbit,
,Zeo,Dog Husky,52,,,SparkyCanDo,699,Fullsuit,None,Toony,Plantigrade,Four,White,Blue,Husky,
,Zhar,Hybrid Sergal,134,,,SparkyCanDo,699,Fullsuit,None,Toony,Digitigrade,Four,Blue,Red,Hybrid,
Muffet Owner: SparkysStitches Species: arachnid DB Added: 2015-12-31 Created: 2015-12-30 Updated: 2015-12-31 Builder(s): Sparky's Stitches,Muffet,Insect,145,30-12-2015,31-12-2015,Sparkyena,700,Partial,None,Toony,Plantigrade,Other,Purple,Black,Missingno (No Avatar Graphic Found),
Sparky Hyena Owner: SparkysStitches Species: hyena DB Added: 2013-12-20 Created: 2013-12-17 Updated: 2014-01-07 Builder(s): Sparky's Stitches,Sparky Hyena,Hyena,144,17-12-2013,07-01-2014,Sparkyena,700,Partial,None,Toony,Plantigrade,Five,Blue,Brown,Missingno (No Avatar Graphic Found),
