Rip,Name (Showing 19337 of 19337 Total),"Species Corrected",In Latin Genus List Ref.,"Created Date","Updated Date",Maker,Maker List Ref.,Build,Padding,Appearance,Leg Type,Finger Type,Base Colour,Eye Colour,Avatar Type,Pulled
,Nova,Dog Husky,52,,,Admirals Costumes,10,Partial,None,Toony,Plantigrade,Four,Green,Brown,Husky,
,Poprock Grey the Wolf-Cat,Hybrid Custom,120,,,Admirals Costumes,10,Partial,None,Realistic,N/A,N/A,Grey,Purple,Hybrid,
,Rayne the Wolf-Dragon,Hybrid Wolgen/Drolf,141,,,Admirals Costumes,10,Fullsuit,None,Toony,Digitigrade,Five,Black,Red,Hybrid,
,Tenshi Koneko,Wild Cat,207,,,Admirals Costumes,10,Fullsuit,None,Toony,Digitigrade,Five,Brown,Blue,Feline (Long Tail),
,Alpha,Wolf,210,,,Adorable Foxie,11,Partial,None,Toony,N/A,N/A,Grey,Brown,Wolf,
Gray Muzzle Owner: Gray Muzzle Species: fox DB Added: 2011-11-02 Created: 2011-08-01 Updated: 2011-11-02 Builder(s): Adorable Foxie,Gray Muzzle,Fox,100,01-08-2011,02-11-2011,Adorable Foxie,11,Partial,None,Toony,Plantigrade,Four,Brown,Red,Fox,
,Grimno,Wolf,210,,,Adorable Foxie,11,Partial,None,Toony,Plantigrade,Five,Red,Blue,Wolf,
Independence Owner: nightabsol Species: wolf DB Added: 2010-08-16 Created: 2010-08-09 Updated: 2010-08-16 Builder(s): CrssaFox,Independence,Wolf,210,09-08-2010,16-08-2010,Adorable Foxie,11,Fullsuit,None,Realistic Toony,Plantigrade,Five,Grey,Grey,Wolf,
Kaos Wolf Owner: renegadehusky Species: husky DB Added: 2007-05-22 Created: Updated: 2007-05-22 Builder(s): Crssa Fox,Kaos Wolf,Dog Husky,52,,22-05-2007,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Four,Grey,Yellow,Husky,
,Maria,Dog Mixed Breed,55,,,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Four,Brown,Brown,Dog Half Cocked Medium Tail,
,Relyt,Fox,100,,,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Four,Black,Brown,Fox,
,Salen,Ferret,98,,,Adorable Foxie,11,Partial,None,Toony,Plantigrade,Four,Grey,Blue,Ferret,
,Seah,Fox,100,,,Adorable Foxie,11,Partial,None,Toony,Plantigrade,Four,Brown,Brown,Fox,
,Shayde,Dog Domestic,47,,,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Five,Black,Blue,Dog Half Cocked Stub Tail,
Skittle Owner: CrssaFox Species: skunk DB Added: 2010-02-02 Created: 2006-09-01 Updated: 2010-02-02 Builder(s): CrssaFox,Skittle,Skunk,193,01-09-2006,02-02-2010,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Four,Red,Green,Missingno (No Avatar Graphic Found),
Sorrel Owner: Arcais Species: fox DB Added: 2010-05-16 Created: 2010-11-05 Updated: 2010-11-20 Builder(s): CrssaFox TayaLu,Sorrel,Fox,100,05-11-2010,20-11-2010,Adorable Foxie,11,Fullsuit,None,Toony,Plantigrade,Five,Brown,Green,Fox,
,Arcade,Extinct Mammal,71,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Purple,Orange,Extinct,
,Asriel,Fantasy - Media,87,,,Aheun Fursuit,12,Partial,None,Toony,Plantigrade,Four,White,Green,Media,
,Asrieldreemurr,Fantasy - Media,87,,,Aheun Fursuit,12,Partial,None,Toony,Plantigrade,Four,White,Black,Media,
,Blue Tiger,Tiger,202,,,Aheun Fursuit,12,Fullsuit,None,Toony,Digitigrade,Four,Blue,Blue,Tiger,
,Casper,Hybrid Custom,120,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,White,Purple,Hybrid,
,Damien,Fantasy - Alien,72,,,Aheun Fursuit,12,Partial,None,Toony,Plantigrade,Four,Brown,Multi,Missingno (No Avatar Graphic Found),
,Equinox,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Grey,Blue,Domestic Cat,
,Fossa,Wolf,210,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Grey,Blue,Wolf,
,Guilmon,Fantasy - Digimon,77,,,Aheun Fursuit,12,Fullsuit,None,Toony,Digitigrade,Other,Red,Yellow,Media,
,Heartswarm,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Pink,Purple,Domestic Cat,
,Juno,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Purple,Green,Domestic Cat,
,Kook,Serval,190,,,Aheun Fursuit,12,Partial,None,Toony,Plantigrade,Five,Brown,Green,Serval,
,Lino,Fox,100,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Brown,Blue,Fox,
,Lion Premade,Lion,152,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,White,Orange,Lion,
,Maca,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Pink,Blue,Domestic Cat,
,Mari,Snow Leopard,196,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Grey,Blue,Snow Leopard,
,Mochi,Dog Corgi,43,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,Brown,Blue,Dog Half Cocked Stub Tail,
,Nels,Cat Domestic,18,,,Aheun Fursuit,12,Partial,None,Toony,N/A,N/A,White,Brown,Domestic Cat,
